Time_Stamp,Instrument_ID,Date,Time,Condition,Trial,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
78,384,2025-11-02,21:17:00,Intervention,Trial 2,Away,40.48416666666667,13.396666666666667,0.40491666666666665,2.1033333333333335
79,384,2025-11-02,21:18:00,Intervention,Trial 2,Away,40.8775,13.313333333333333,0.33949999999999997,0.38800000000000007
80,384,2025-11-02,21:19:00,Intervention,Trial 2,Away,41.00416666666667,13.241666666666667,0.6068333333333333,2.435833333333333
81,384,2025-11-02,21:20:00,Intervention,Trial 2,Away,41.98166666666667,13.159166666666666,0.41025,0.86125
82,384,2025-11-02,21:21:00,Intervention,Trial 2,Away,41.01,13.094166666666666,0.33241666666666664,0.6405
83,384,2025-11-02,21:22:00,Intervention,Trial 2,Away,41.098333333333336,13.021666666666667,0.1749166666666667,0.17608333333333334
84,384,2025-11-02,21:23:00,Intervention,Trial 2,Away,41.34166666666667,12.956666666666665,0.4756666666666667,1.3920000000000001
85,384,2025-11-02,21:24:00,Intervention,Trial 2,Away,42.336666666666666,12.889166666666666,0.44775000000000004,0.602
86,384,2025-11-02,21:25:00,Intervention,Trial 2,Away,42.346666666666664,12.8225,0.3815,2.624833333333333
87,384,2025-11-02,21:26:00,Intervention,Trial 2,Away,41.8825,12.766666666666666,0.6648333333333334,1.2769166666666667
88,384,2025-11-02,21:27:00,Intervention,Trial 2,Away,42.83583333333333,12.706666666666665,0.37074999999999997,0.6760833333333333
89,384,2025-11-02,21:28:00,Intervention,Trial 2,Away,41.52166666666667,12.629166666666668,0.5225000000000001,1.4028333333333334
90,384,2025-11-02,21:29:00,Intervention,Trial 2,Away,42.82416666666666,12.569166666666668,0.35474999999999995,1.0905
91,384,2025-11-02,21:30:00,Intervention,Trial 2,Away,42.80916666666667,12.509166666666667,0.3075833333333333,0.5812499999999999
92,384,2025-11-02,21:31:00,Intervention,Trial 2,Away,42.55416666666667,12.440833333333332,0.43533333333333335,1.9364999999999999
93,384,2025-11-02,21:32:00,Intervention,Trial 2,Away,42.791666666666664,12.39,0.3885,0.5684166666666667
94,384,2025-11-02,21:33:00,Intervention,Trial 2,Away,43.01666666666667,12.336666666666666,0.7535,3.279583333333333
95,384,2025-11-02,21:34:00,Intervention,Trial 2,Away,43.335,12.286666666666667,0.46125,0.7290833333333334
96,384,2025-11-02,21:35:00,Intervention,Trial 2,Away,42.8425,12.241666666666667,0.49924999999999997,0.8985833333333334
97,384,2025-11-02,21:36:00,Intervention,Trial 2,Away,43.77,12.1775,0.29175,0.6355833333333334
98,384,2025-11-02,21:37:00,Intervention,Trial 2,Away,42.89666666666667,12.123333333333333,0.3841666666666667,1.5678333333333334
99,384,2025-11-02,21:38:00,Intervention,Trial 2,Away,43.28916666666667,12.065833333333332,0.32483333333333336,0.37033333333333335
100,384,2025-11-02,21:39:00,Intervention,Trial 2,Away,43.97083333333333,12.022499999999999,0.47825,0.8749166666666666
101,384,2025-11-02,21:40:00,Intervention,Trial 2,Away,44.6825,11.979999999999999,0.32958333333333334,1.0735
102,384,2025-11-02,21:41:00,Intervention,Trial 2,Away,43.865,11.930833333333332,0.52025,2.001416666666667
103,384,2025-11-02,21:42:00,Intervention,Trial 2,Away,43.76416666666666,11.901666666666666,0.44808333333333333,0.6593333333333333
104,384,2025-11-02,21:43:00,Intervention,Trial 2,Away,44.73416666666666,11.853333333333333,0.541,3.0679166666666666
105,384,2025-11-02,21:44:00,Intervention,Trial 2,Away,44.60166666666667,11.805,0.4310833333333333,0.6279166666666667
106,384,2025-11-02,21:45:00,Intervention,Trial 2,Away,45.07416666666666,11.7575,0.3195833333333334,0.4305833333333334
107,384,2025-11-02,21:46:00,Intervention,Trial 2,Away,44.8475,11.715000000000002,1.26925,2.79875
108,384,2025-11-02,21:47:00,Intervention,Trial 2,Away,45.15833333333333,11.667499999999999,0.55075,1.6366666666666667
109,384,2025-11-02,21:48:00,Intervention,Trial 2,Away,44.590833333333336,11.6325,0.35991666666666666,0.3669166666666666
110,384,2025-11-02,21:49:00,Intervention,Trial 2,Away,45.23666666666667,11.586666666666666,0.5039166666666667,0.7965
111,384,2025-11-02,21:50:00,Intervention,Trial 2,Away,46.095,11.548333333333332,0.48433333333333334,1.5752500000000003
112,384,2025-11-02,21:51:00,Intervention,Trial 2,Away,45.66833333333333,11.501666666666667,0.3481666666666667,0.3745
113,384,2025-11-02,21:52:00,Intervention,Trial 2,Away,45.942499999999995,11.471666666666666,0.3968333333333333,1.1735833333333332
114,384,2025-11-02,21:53:00,Intervention,Trial 2,Away,45.61083333333334,11.435,0.4693333333333333,2.163666666666667
115,384,2025-11-02,21:54:00,Intervention,Trial 2,Away,45.458333333333336,11.399166666666666,0.6043333333333333,1.77375
116,384,2025-11-02,21:55:00,Intervention,Trial 2,Away,45.6975,11.365,0.4895,0.6291666666666667
117,384,2025-11-02,21:56:00,Intervention,Trial 2,Away,44.54749999999999,11.33,0.5310833333333332,0.8866666666666667
118,384,2025-11-02,21:57:00,Intervention,Trial 2,Away,44.82083333333333,11.3025,0.627,2.721166666666667
119,384,2025-11-02,21:58:00,Intervention,Trial 2,Away,45.58166666666667,11.288333333333334,0.5735833333333333,2.6550833333333332
120,384,2025-11-02,21:59:00,Intervention,Trial 2,Away,45.84583333333333,11.265833333333333,0.45308333333333334,1.4703333333333335
