UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/11/02T20:34:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,34,31,1023.11,4.63,25720,0,461,0.48,0.59,0.70,0.48,0.59,0.70,2,2,237.05,68.66,4.34,0.55,0.38,0.00,0.31,0.66,0.92,0.31,0.66,0.92,3,3,256.63,69.63,6.36,0.95,0.20,0.20,75.10
2025/11/02T20:36:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.15,4.63,26280,0,581,0.09,0.41,0.41,0.09,0.41,0.41,2,2,190.40,50.24,4.24,0.26,0.00,0.00,0.26,0.74,0.82,0.26,0.74,0.82,3,3,264.11,69.40,4.07,0.56,0.21,0.00,76.22
2025/11/02T20:38:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,31,1023.17,4.63,26280,0,701,0.27,0.93,0.93,0.27,0.93,0.93,4,4,236.03,68.98,7.15,0.53,0.00,0.00,0.35,0.47,0.47,0.35,0.47,0.47,2,2,239.45,64.47,3.38,0.04,0.00,0.00,78.44
2025/11/02T20:40:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,32,1023.23,4.63,26280,0,821,0.22,0.72,1.07,0.22,0.72,1.07,3,3,238.45,63.72,5.38,1.03,0.62,0.38,0.49,0.66,0.66,0.49,0.66,0.66,3,3,244.68,65.98,5.14,0.00,0.00,0.00,79.21
2025/11/02T20:42:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.19,4.63,26280,0,941,0.46,0.77,0.93,0.46,0.77,0.93,3,3,229.39,65.96,5.36,0.66,0.21,0.00,0.24,0.61,0.66,0.24,0.61,0.66,3,3,243.86,64.29,5.93,0.44,0.00,0.00,78.44
2025/11/02T20:44:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.20,4.63,25968,0,1061,0.21,0.95,0.95,0.21,0.95,0.95,4,4,212.22,63.14,5.52,1.16,0.00,0.00,0.66,1.09,1.09,0.66,1.09,1.09,5,5,275.28,73.31,4.71,1.02,0.00,0.00,77.91
2025/11/02T20:46:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.12,4.63,26280,0,1181,0.17,0.66,0.92,0.17,0.66,0.92,3,3,206.64,61.83,5.56,1.29,0.42,0.00,0.18,0.67,0.84,0.18,0.67,0.84,3,3,224.63,63.04,5.93,0.68,0.39,0.18,78.73
2025/11/02T20:48:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.22,nan,26432,0,101,0.11,0.59,0.74,0.11,0.59,0.74,2,2,219.00,58.15,5.13,0.41,0.28,0.00,0.35,0.56,0.56,0.35,0.56,0.56,2,2,229.74,63.23,3.53,0.09,0.00,0.00,nan
2025/11/02T20:50:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.23,4.63,26344,0,221,0.29,0.88,1.08,0.29,0.88,1.08,4,4,221.44,62.63,6.39,1.47,0.34,0.08,0.26,0.86,1.02,0.26,0.86,1.02,4,4,237.32,65.70,7.54,1.12,0.40,0.00,75.86
2025/11/02T20:52:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,33,31,1023.20,4.63,26344,0,341,0.14,0.74,0.82,0.14,0.74,0.82,3,3,221.74,61.84,7.51,1.37,0.11,0.11,0.15,0.41,0.53,0.15,0.41,0.53,2,2,229.98,65.39,6.92,0.24,0.00,0.00,77.82
