Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity,Temperature,PM25,PM10
45,384,2025-11-01,19:44:00,Control,Session 2,Away,37.08583333333333,14.590833333333334,0.49441666666666667,0.7289166666666667
46,384,2025-11-01,19:45:00,Control,Session 2,Away,37.045,14.591666666666667,0.3600833333333333,1.32625
47,384,2025-11-01,19:46:00,Control,Session 2,Away,37.26916666666667,14.64,0.4130833333333333,0.616
48,384,2025-11-01,19:47:00,Control,Session 2,Away,37.79416666666667,14.665,0.23183333333333334,1.8453333333333333
49,384,2025-11-01,19:48:00,Control,Session 2,Away,38.49333333333333,14.670833333333334,0.66675,0.6900833333333334
50,384,2025-11-01,19:49:00,Control,Session 2,Away,37.61416666666667,14.696666666666665,0.2786666666666667,0.5499999999999999
51,384,2025-11-01,19:50:00,Control,Session 2,Away,37.714166666666664,14.708333333333334,0.6411666666666667,2.54675
52,384,2025-11-01,19:51:00,Control,Session 2,Away,37.699999999999996,14.6975,0.3715,0.5499166666666667
53,384,2025-11-01,19:52:00,Control,Session 2,Away,38.26166666666666,14.7125,0.28550000000000003,0.29591666666666666
54,384,2025-11-01,19:53:00,Control,Session 2,Away,37.65333333333333,14.740833333333335,0.60675,1.7855833333333333
55,384,2025-11-01,19:54:00,Control,Session 2,Away,37.525,14.784999999999998,0.43091666666666667,1.4740833333333334
56,384,2025-11-01,19:55:00,Control,Session 2,Away,38.36,14.8225,0.4291666666666667,1.1998333333333335
57,384,2025-11-01,19:56:00,Control,Session 2,Away,37.344166666666666,14.854166666666666,0.6909166666666667,5.3525
58,384,2025-11-01,19:57:00,Control,Session 2,Away,36.87083333333333,14.861666666666666,0.40700000000000003,0.7598333333333334
59,384,2025-11-01,19:58:00,Control,Session 2,Away,37.87833333333334,14.832500000000001,0.6248333333333334,1.6281666666666668
60,384,2025-11-01,19:59:00,Control,Session 2,Away,38.229166666666664,14.8275,0.3681666666666666,2.20275
61,384,2025-11-01,20:00:00,Control,Session 2,Away,36.64416666666667,14.818333333333333,0.33791666666666664,0.46016666666666667
62,384,2025-11-01,20:01:00,Control,Session 2,Away,38.034166666666664,14.783333333333333,0.5652499999999999,1.16875
63,384,2025-11-01,20:02:00,Control,Session 2,Away,37.57,14.760833333333332,0.52625,1.718333333333333
64,384,2025-11-01,20:03:00,Control,Session 2,Away,38.01833333333333,14.754166666666668,0.5188333333333334,2.0706666666666664
65,384,2025-11-01,20:04:00,Control,Session 2,Away,38.454166666666666,14.762500000000001,0.8245,4.9985
66,384,2025-11-01,20:05:00,Control,Session 2,Away,36.99916666666667,14.749166666666667,0.36108333333333337,3.156083333333333
67,384,2025-11-01,20:06:00,Control,Session 2,Away,36.6775,14.7475,0.18525,0.18941666666666668
68,384,2025-11-01,20:07:00,Control,Session 2,Away,37.35,14.751666666666667,0.6651666666666666,1.8731666666666669
69,384,2025-11-01,20:08:00,Control,Session 2,Away,37.72083333333334,14.770000000000001,0.49241666666666667,1.3883333333333334
70,384,2025-11-01,20:09:00,Control,Session 2,Away,37.781666666666666,14.799166666666666,0.5314166666666666,1.4868333333333335
71,384,2025-11-01,20:10:00,Control,Session 2,Away,36.81166666666667,14.839166666666666,0.31124999999999997,8.087666666666667
72,384,2025-11-01,20:11:00,Control,Session 2,Away,36.37083333333333,14.858333333333334,0.24991666666666668,0.29233333333333333
73,384,2025-11-01,20:12:00,Control,Session 2,Away,37.50666666666667,14.875,0.6199166666666667,4.43625
74,384,2025-11-01,20:13:00,Control,Session 2,Away,37.527499999999996,14.924166666666666,0.44016666666666665,0.5995
75,384,2025-11-01,20:14:00,Control,Session 2,Away,37.01083333333333,14.975000000000001,0.38775,0.59525
76,384,2025-11-01,20:15:00,Control,Session 2,Away,36.270833333333336,15.000833333333333,0.5395,1.43225
77,384,2025-11-01,20:16:00,Control,Session 2,Away,37.670833333333334,15.0575,0.3775,1.4937500000000001
78,384,2025-11-01,20:17:00,Control,Session 2,Away,36.8675,15.103333333333333,0.4974166666666667,7.868333333333333
79,384,2025-11-01,20:18:00,Control,Session 2,Away,37.06666666666667,15.145833333333334,0.6061666666666666,1.0124166666666665
80,384,2025-11-01,20:19:00,Control,Session 2,Away,37.094166666666666,15.196666666666667,0.28158333333333335,2.449666666666667
81,384,2025-11-01,20:20:00,Control,Session 2,Away,36.295833333333334,15.2275,0.40691666666666665,1.414
82,384,2025-11-01,20:21:00,Control,Session 2,Away,37.049166666666665,15.2975,0.3409166666666667,0.38833333333333336
83,384,2025-11-01,20:22:00,Control,Session 2,Away,37.4325,15.375833333333333,0.5235,7.1643333333333326
84,384,2025-11-01,20:23:00,Control,Session 2,Away,36.88833333333333,15.455833333333333,0.63375,0.965
85,384,2025-11-01,20:24:00,Control,Session 2,Away,35.69416666666667,15.485,0.48374999999999996,4.337666666666666
86,384,2025-11-01,20:25:00,Control,Session 2,Away,36.76416666666667,15.5,0.32366666666666666,1.082
87,384,2025-11-01,20:26:00,Control,Session 2,Away,36.4225,15.485833333333334,0.29633333333333334,0.3268333333333333
88,384,2025-11-01,20:27:00,Control,Session 2,Away,36.44583333333333,15.457500000000001,0.49766666666666665,0.89525
89,384,2025-11-01,20:28:00,Control,Session 2,Away,37.024166666666666,15.428333333333333,0.33108333333333334,0.49491666666666667
90,384,2025-11-01,20:29:00,Control,Session 2,Away,36.1875,15.402500000000002,0.44449999999999995,1.171
91,384,2025-11-01,20:30:00,Control,Session 2,Away,35.98583333333333,15.366666666666667,0.4343333333333333,5.3675
92,384,2025-11-01,20:31:00,Control,Session 2,Away,35.12583333333333,15.3125,0.5398333333333333,3.517583333333333
93,384,2025-11-01,20:32:00,Control,Session 2,Away,36.18,15.276666666666666,0.48266666666666663,6.092583333333334
94,384,2025-11-01,20:33:00,Control,Session 2,Away,36.62083333333333,15.229166666666666,0.5884999999999999,1.1570833333333332
95,384,2025-11-01,20:34:00,Control,Session 2,Away,35.36,15.205,0.3429166666666667,1.2941666666666667
96,384,2025-11-01,20:35:00,Control,Session 2,Away,36.47,15.174166666666666,0.43933333333333335,4.206166666666667
97,384,2025-11-01,20:36:00,Control,Session 2,Away,37.91833333333333,15.129166666666668,0.3595833333333333,2.038
98,384,2025-11-01,20:37:00,Control,Session 2,Away,37.34583333333333,15.060833333333333,1.0516666666666665,2.1618333333333335
99,384,2025-11-01,20:38:00,Control,Session 2,Away,38.291666666666664,14.9925,0.39566666666666667,1.3425
100,384,2025-11-01,20:39:00,Control,Session 2,Away,37.3525,14.939166666666667,0.6890833333333334,4.674666666666667
101,384,2025-11-01,20:40:00,Control,Session 2,Away,37.00833333333333,14.863333333333335,0.6214166666666667,2.5719166666666666
102,384,2025-11-01,20:41:00,Control,Session 2,Away,36.85583333333333,14.8175,0.5598333333333333,4.770333333333333
103,384,2025-11-01,20:42:00,Control,Session 2,Away,36.59166666666667,14.76,0.5454166666666667,1.3688333333333331
104,384,2025-11-01,20:43:00,Control,Session 2,Away,38.090833333333336,14.735833333333334,0.3941666666666666,0.6958333333333333
105,384,2025-11-01,20:44:00,Control,Session 2,Away,37.509166666666665,14.726666666666667,0.3199166666666667,0.36933333333333335
106,384,2025-11-01,20:45:00,Control,Session 2,Away,36.62583333333333,14.710833333333333,0.7437499999999999,1.6888333333333332
107,384,2025-11-01,20:46:00,Control,Session 2,Away,37.295833333333334,14.675833333333332,0.47841666666666666,1.3546666666666667
108,384,2025-11-01,20:47:00,Control,Session 2,Away,38.531666666666666,14.676666666666668,0.5103333333333333,3.0064999999999995
109,384,2025-11-01,20:48:00,Control,Session 2,Away,37.15333333333333,14.683333333333332,0.252,2.384583333333333
110,384,2025-11-01,20:49:00,Control,Session 2,Away,36.81166666666667,14.715833333333334,0.3134166666666667,1.9944166666666667
111,384,2025-11-01,20:50:00,Control,Session 2,Away,37.987500000000004,14.744166666666667,0.8528333333333333,2.781416666666667
112,384,2025-11-01,20:51:00,Control,Session 2,Away,38.14666666666667,14.745,0.68825,9.2735
113,384,2025-11-01,20:52:00,Control,Session 2,Away,36.8325,14.7675,0.3794166666666667,4.14775
114,384,2025-11-01,20:53:00,Control,Session 2,Away,37.415,14.764166666666666,0.4211666666666667,0.8913333333333333
115,384,2025-11-01,20:54:00,Control,Session 2,Away,36.840833333333336,14.717500000000001,0.1485,1.5895000000000001
116,384,2025-11-01,20:55:00,Control,Session 2,Away,37.435,14.654166666666667,0.49750000000000005,2.0765833333333332
117,384,2025-11-01,20:56:00,Control,Session 2,Away,36.861666666666665,14.604166666666666,0.46608333333333335,0.7670833333333333
118,384,2025-11-01,20:57:00,Control,Session 2,Away,37.37166666666666,14.555833333333332,0.5544166666666667,1.0275833333333333
119,384,2025-11-01,20:58:00,Control,Session 2,Away,37.545,14.541666666666666,0.24208333333333332,0.33008333333333334
120,384,2025-11-01,20:59:00,Control,Session 2,Away,38.44916666666666,14.54,0.24383333333333335,0.26816666666666666
