Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity_%,Temperature_C,PM25_ug/m3,PM10_ug/m3
97,384,2025-10-25,20:36:00,Control,Session 1,Away,28.464166666666667,19.18916666666667,0.1585,0.15941666666666668
98,384,2025-10-25,20:37:00,Control,Session 1,Away,30.170833333333334,19.048333333333332,0.4850833333333333,2.287833333333333
99,384,2025-10-25,20:38:00,Control,Session 1,Away,30.365,18.909166666666668,0.3134166666666667,0.8945833333333333
100,384,2025-10-25,20:39:00,Control,Session 1,Away,31.882499999999997,18.770833333333332,0.35316666666666663,1.6739166666666667
101,384,2025-10-25,20:40:00,Control,Session 1,Away,35.074999999999996,18.63083333333333,0.15466666666666667,0.17233333333333334
102,384,2025-10-25,20:41:00,Control,Session 1,Away,35.80416666666667,18.484166666666667,0.29358333333333336,0.6906666666666667
103,384,2025-10-25,20:42:00,Control,Session 1,Away,30.2025,18.334166666666665,0.30916666666666665,0.9664999999999999
104,384,2025-10-25,20:43:00,Control,Session 1,Away,30.411666666666665,18.165833333333335,0.20575,0.47124999999999995
105,384,2025-10-25,20:44:00,Control,Session 1,Away,33.41833333333333,17.985,0.20491666666666666,0.3026666666666667
106,384,2025-10-25,20:45:00,Control,Session 1,Away,33.656666666666666,17.830833333333334,0.19733333333333333,3.1586666666666665
107,384,2025-10-25,20:46:00,Control,Session 1,Away,34.50083333333333,17.680833333333336,0.13541666666666666,0.13875
108,384,2025-10-25,20:47:00,Control,Session 1,Away,36.38916666666667,17.50583333333333,0.12725,1.4179166666666667
109,384,2025-10-25,20:48:00,Control,Session 1,Away,33.7125,17.3725,0.24849999999999997,0.4074166666666667
110,384,2025-10-25,20:49:00,Control,Session 1,Away,34.95916666666667,17.23,0.35916666666666663,0.6535833333333333
111,384,2025-10-25,20:50:00,Control,Session 1,Away,36.526666666666664,17.0925,0.32816666666666666,0.6828333333333334
112,384,2025-10-25,20:51:00,Control,Session 1,Away,36.0375,16.944166666666664,0.20483333333333334,0.22641666666666668
113,384,2025-10-25,20:52:00,Control,Session 1,Away,39.69583333333333,16.805,0.34349999999999997,2.6293333333333333
114,384,2025-10-25,20:53:00,Control,Session 1,Away,36.21333333333333,16.671666666666667,0.3809166666666666,1.1165833333333335
115,384,2025-10-25,20:54:00,Control,Session 1,Away,33.00666666666667,16.566666666666666,0.24458333333333335,0.2753333333333333
116,384,2025-10-25,20:55:00,Control,Session 1,Away,36.44916666666666,16.456666666666667,0.17416666666666666,0.19616666666666668
117,384,2025-10-25,20:56:00,Control,Session 1,Away,37.7575,16.345833333333335,0.25816666666666666,0.6098333333333333
118,384,2025-10-25,20:57:00,Control,Session 1,Away,40.24333333333333,16.2575,0.36141666666666666,2.0268333333333333
119,384,2025-10-25,20:58:00,Control,Session 1,Away,42.8725,16.195833333333333,0.17416666666666666,0.1809166666666667
120,384,2025-10-25,20:59:00,Control,Session 1,Away,39.416666666666664,16.12,0.18208333333333335,0.20225
